sample_id,language,backdoor_type,stealth_level,complexity,scenario,has_backdoor,file_path,label_compact,split
clean_000170,cpp,none,none,complex,fpga,0,data/processed/dataset_v1/train/sample_000053.cpp,cpp_none_none_complex_fpga_0,train
bad_000447,vhdl,instruction_hijack,high,complex,asic,1,data/processed/dataset_v1/train/sample_000054.vhd,vhdl_instruction_hijack_high_complex_asic_1,train
clean_000433,c,none,none,simple,mcu,0,data/processed/dataset_v1/train/sample_000055.c,c_none_none_simple_mcu_0,train
clean_000466,cpp,none,none,simple,fpga,0,data/processed/dataset_v1/train/sample_000056.cpp,cpp_none_none_simple_fpga_0,train
clean_000358,cpp,none,none,simple,mcu,0,data/processed/dataset_v1/train/sample_000057.cpp,cpp_none_none_simple_mcu_0,train
clean_000238,c,none,none,complex,embedded,0,data/processed/dataset_v1/train/sample_000058.c,c_none_none_complex_embedded_0,train
clean_000490,verilog,none,none,complex,fpga,0,data/processed/dataset_v1/train/sample_000059.v,verilog_none_none_complex_fpga_0,train
clean_000012,cpp,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000060.cpp,cpp_none_none_simple_embedded_0,train
clean_000287,verilog,none,none,complex,mcu,0,data/processed/dataset_v1/train/sample_000061.v,verilog_none_none_complex_mcu_0,train
clean_000077,verilog,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000062.v,verilog_none_none_simple_asic_0,train
bad_000131,verilog,logic_tamper,high,simple,asic,1,data/processed/dataset_v1/train/sample_000063.v,verilog_logic_tamper_high_simple_asic_1,train
clean_000138,cpp,none,none,complex,asic,0,data/processed/dataset_v1/train/sample_000064.cpp,cpp_none_none_complex_asic_0,train
clean_000034,c,none,none,simple,fpga,0,data/processed/dataset_v1/train/sample_000065.c,c_none_none_simple_fpga_0,train
clean_000384,verilog,none,none,complex,embedded,0,data/processed/dataset_v1/train/sample_000066.v,verilog_none_none_complex_embedded_0,train
clean_000344,cpp,none,none,simple,fpga,0,data/processed/dataset_v1/train/sample_000067.cpp,cpp_none_none_simple_fpga_0,train
clean_000377,cpp,none,none,complex,mcu,0,data/processed/dataset_v1/train/sample_000068.cpp,cpp_none_none_complex_mcu_0,train
clean_000488,c,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000069.c,c_none_none_simple_embedded_0,train
bad_000283,c,privilege_escalation,medium,simple,mcu,1,data/processed/dataset_v1/train/sample_000070.c,c_privilege_escalation_medium_simple_mcu_1,train
bad_000093,c,instruction_hijack,high,simple,mcu,1,data/processed/dataset_v1/train/sample_000071.c,c_instruction_hijack_high_simple_mcu_1,train
clean_000452,cpp,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000072.cpp,cpp_none_none_simple_asic_0,train
bad_000003,verilog,instruction_hijack,high,simple,mcu,1,data/processed/dataset_v1/train/sample_000073.v,verilog_instruction_hijack_high_simple_mcu_1,train
bad_000316,c,data_exfiltration,medium,complex,embedded,1,data/processed/dataset_v1/train/sample_000074.c,c_data_exfiltration_medium_complex_embedded_1,train
bad_000095,vhdl,instruction_hijack,high,complex,mcu,1,data/processed/dataset_v1/train/sample_000075.vhd,vhdl_instruction_hijack_high_complex_mcu_1,train
bad_000490,cpp,instruction_hijack,high,simple,fpga,1,data/processed/dataset_v1/train/sample_000076.cpp,cpp_instruction_hijack_high_simple_fpga_1,train
bad_000433,vhdl,privilege_escalation,medium,simple,embedded,1,data/processed/dataset_v1/train/sample_000077.vhd,vhdl_privilege_escalation_medium_simple_embedded_1,train
clean_000441,verilog,none,none,complex,mcu,0,data/processed/dataset_v1/train/sample_000078.v,verilog_none_none_complex_mcu_0,train
clean_000129,cpp,none,none,simple,mcu,0,data/processed/dataset_v1/train/sample_000079.cpp,cpp_none_none_simple_mcu_0,train
clean_000113,vhdl,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000080.vhd,vhdl_none_none_simple_asic_0,train
clean_000391,cpp,none,none,complex,asic,0,data/processed/dataset_v1/train/sample_000081.cpp,cpp_none_none_complex_asic_0,train
bad_000025,verilog,logic_tamper,high,complex,asic,1,data/processed/dataset_v1/train/sample_000082.v,verilog_logic_tamper_high_complex_asic_1,train
clean_000274,cpp,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000083.cpp,cpp_none_none_simple_embedded_0,train
clean_000356,cpp,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000084.cpp,cpp_none_none_simple_embedded_0,train
clean_000029,cpp,none,none,complex,asic,0,data/processed/dataset_v1/train/sample_000085.cpp,cpp_none_none_complex_asic_0,train
clean_000450,c,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000086.c,c_none_none_simple_asic_0,train
clean_000482,c,none,none,complex,embedded,0,data/processed/dataset_v1/train/sample_000087.c,c_none_none_complex_embedded_0,train
clean_000442,vhdl,none,none,complex,mcu,0,data/processed/dataset_v1/train/sample_000088.vhd,vhdl_none_none_complex_mcu_0,train
bad_000137,cpp,data_exfiltration,medium,complex,fpga,1,data/processed/dataset_v1/train/sample_000089.cpp,cpp_data_exfiltration_medium_complex_fpga_1,train
clean_000159,cpp,none,none,complex,asic,0,data/processed/dataset_v1/train/sample_000090.cpp,cpp_none_none_complex_asic_0,train
bad_000462,vhdl,privilege_escalation,medium,simple,asic,1,data/processed/dataset_v1/train/sample_000091.vhd,vhdl_privilege_escalation_medium_simple_asic_1,train
bad_000368,verilog,data_exfiltration,medium,simple,fpga,1,data/processed/dataset_v1/train/sample_000092.v,verilog_data_exfiltration_medium_simple_fpga_1,train
bad_000288,vhdl,data_exfiltration,medium,simple,fpga,1,data/processed/dataset_v1/train/sample_000093.vhd,vhdl_data_exfiltration_medium_simple_fpga_1,train
clean_000199,cpp,none,none,complex,fpga,0,data/processed/dataset_v1/train/sample_000094.cpp,cpp_none_none_complex_fpga_0,train
clean_000364,c,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000095.c,c_none_none_simple_embedded_0,train
clean_000235,verilog,none,none,simple,mcu,0,data/processed/dataset_v1/train/sample_000096.v,verilog_none_none_simple_mcu_0,train
clean_000499,verilog,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000097.v,verilog_none_none_simple_embedded_0,train
clean_000435,c,none,none,complex,asic,0,data/processed/dataset_v1/train/sample_000098.c,c_none_none_complex_asic_0,train
clean_000380,vhdl,none,none,simple,fpga,0,data/processed/dataset_v1/train/sample_000099.vhd,vhdl_none_none_simple_fpga_0,train
clean_000408,vhdl,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000100.vhd,vhdl_none_none_simple_asic_0,train
bad_000440,verilog,data_exfiltration,medium,simple,mcu,1,data/processed/dataset_v1/train/sample_000101.v,verilog_data_exfiltration_medium_simple_mcu_1,train
bad_000381,vhdl,instruction_hijack,high,simple,mcu,1,data/processed/dataset_v1/train/sample_000102.vhd,vhdl_instruction_hijack_high_simple_mcu_1,train
bad_000466,cpp,instruction_hijack,high,simple,mcu,1,data/processed/dataset_v1/train/sample_000103.cpp,cpp_instruction_hijack_high_simple_mcu_1,train
clean_000151,c,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000104.c,c_none_none_simple_asic_0,train
bad_000276,verilog,instruction_hijack,high,simple,embedded,1,data/processed/dataset_v1/train/sample_000105.v,verilog_instruction_hijack_high_simple_embedded_1,train
bad_000352,verilog,logic_tamper,high,simple,asic,1,data/processed/dataset_v1/train/sample_000106.v,verilog_logic_tamper_high_simple_asic_1,train
bad_000239,vhdl,privilege_escalation,medium,complex,embedded,1,data/processed/dataset_v1/train/sample_000107.vhd,vhdl_privilege_escalation_medium_complex_embedded_1,train
bad_000329,verilog,logic_tamper,high,simple,asic,1,data/processed/dataset_v1/train/sample_000108.v,verilog_logic_tamper_high_simple_asic_1,train
clean_000115,verilog,none,none,complex,mcu,0,data/processed/dataset_v1/train/sample_000109.v,verilog_none_none_complex_mcu_0,train
clean_000161,cpp,none,none,complex,fpga,0,data/processed/dataset_v1/train/sample_000110.cpp,cpp_none_none_complex_fpga_0,train
clean_000239,verilog,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000111.v,verilog_none_none_simple_embedded_0,train
clean_000251,c,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000112.c,c_none_none_simple_embedded_0,train
clean_000269,cpp,none,none,complex,mcu,0,data/processed/dataset_v1/train/sample_000113.cpp,cpp_none_none_complex_mcu_0,train
clean_000411,cpp,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000114.cpp,cpp_none_none_simple_embedded_0,train
bad_000314,vhdl,logic_tamper,high,complex,fpga,1,data/processed/dataset_v1/train/sample_000115.vhd,vhdl_logic_tamper_high_complex_fpga_1,train
clean_000347,verilog,none,none,complex,embedded,0,data/processed/dataset_v1/train/sample_000116.v,verilog_none_none_complex_embedded_0,train
clean_000146,vhdl,none,none,complex,embedded,0,data/processed/dataset_v1/train/sample_000117.vhd,vhdl_none_none_complex_embedded_0,train
clean_000361,verilog,none,none,simple,fpga,0,data/processed/dataset_v1/train/sample_000118.v,verilog_none_none_simple_fpga_0,train
clean_000154,cpp,none,none,complex,mcu,0,data/processed/dataset_v1/train/sample_000119.cpp,cpp_none_none_complex_mcu_0,train
bad_000463,c,logic_tamper,high,simple,embedded,1,data/processed/dataset_v1/train/sample_000120.c,c_logic_tamper_high_simple_embedded_1,train
clean_000125,c,none,none,complex,embedded,0,data/processed/dataset_v1/train/sample_000121.c,c_none_none_complex_embedded_0,train
bad_000219,c,logic_tamper,high,complex,mcu,1,data/processed/dataset_v1/train/sample_000122.c,c_logic_tamper_high_complex_mcu_1,train
bad_000427,cpp,instruction_hijack,high,complex,embedded,1,data/processed/dataset_v1/train/sample_000123.cpp,cpp_instruction_hijack_high_complex_embedded_1,train
clean_000194,cpp,none,none,simple,mcu,0,data/processed/dataset_v1/train/sample_000124.cpp,cpp_none_none_simple_mcu_0,train
clean_000221,vhdl,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000125.vhd,vhdl_none_none_simple_embedded_0,train
bad_000081,c,logic_tamper,high,complex,embedded,1,data/processed/dataset_v1/train/sample_000126.c,c_logic_tamper_high_complex_embedded_1,train
clean_000362,verilog,none,none,complex,fpga,0,data/processed/dataset_v1/train/sample_000127.v,verilog_none_none_complex_fpga_0,train
bad_000484,cpp,instruction_hijack,high,complex,mcu,1,data/processed/dataset_v1/train/sample_000128.cpp,cpp_instruction_hijack_high_complex_mcu_1,train
clean_000190,vhdl,none,none,simple,mcu,0,data/processed/dataset_v1/train/sample_000129.vhd,vhdl_none_none_simple_mcu_0,train
clean_000224,c,none,none,simple,fpga,0,data/processed/dataset_v1/train/sample_000130.c,c_none_none_simple_fpga_0,train
bad_000331,verilog,data_exfiltration,medium,simple,fpga,1,data/processed/dataset_v1/train/sample_000131.v,verilog_data_exfiltration_medium_simple_fpga_1,train
bad_000090,c,data_exfiltration,medium,complex,fpga,1,data/processed/dataset_v1/train/sample_000132.c,c_data_exfiltration_medium_complex_fpga_1,train
bad_000415,vhdl,privilege_escalation,medium,simple,fpga,1,data/processed/dataset_v1/train/sample_000133.vhd,vhdl_privilege_escalation_medium_simple_fpga_1,train
clean_000284,cpp,none,none,simple,fpga,0,data/processed/dataset_v1/train/sample_000134.cpp,cpp_none_none_simple_fpga_0,train
clean_000242,c,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000135.c,c_none_none_simple_asic_0,train
bad_000382,cpp,logic_tamper,high,simple,mcu,1,data/processed/dataset_v1/train/sample_000136.cpp,cpp_logic_tamper_high_simple_mcu_1,train
bad_000121,c,instruction_hijack,high,complex,fpga,1,data/processed/dataset_v1/train/sample_000137.c,c_instruction_hijack_high_complex_fpga_1,train
clean_000279,cpp,none,none,complex,mcu,0,data/processed/dataset_v1/train/sample_000138.cpp,cpp_none_none_complex_mcu_0,train
bad_000215,vhdl,logic_tamper,high,complex,embedded,1,data/processed/dataset_v1/train/sample_000139.vhd,vhdl_logic_tamper_high_complex_embedded_1,train
bad_000008,verilog,privilege_escalation,medium,simple,fpga,1,data/processed/dataset_v1/train/sample_000140.v,verilog_privilege_escalation_medium_simple_fpga_1,train
bad_000036,vhdl,privilege_escalation,medium,complex,mcu,1,data/processed/dataset_v1/train/sample_000141.vhd,vhdl_privilege_escalation_medium_complex_mcu_1,train
clean_000173,verilog,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000142.v,verilog_none_none_simple_asic_0,train
clean_000299,verilog,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000143.v,verilog_none_none_simple_embedded_0,train
bad_000363,vhdl,data_exfiltration,medium,simple,embedded,1,data/processed/dataset_v1/train/sample_000144.vhd,vhdl_data_exfiltration_medium_simple_embedded_1,train
bad_000000,vhdl,logic_tamper,high,simple,asic,1,data/processed/dataset_v1/train/sample_000145.vhd,vhdl_logic_tamper_high_simple_asic_1,train
clean_000196,c,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000146.c,c_none_none_simple_asic_0,train
clean_000236,c,none,none,complex,fpga,0,data/processed/dataset_v1/train/sample_000147.c,c_none_none_complex_fpga_0,train
clean_000418,cpp,none,none,simple,mcu,0,data/processed/dataset_v1/train/sample_000148.cpp,cpp_none_none_simple_mcu_0,train
bad_000168,c,instruction_hijack,high,simple,mcu,1,data/processed/dataset_v1/train/sample_000149.c,c_instruction_hijack_high_simple_mcu_1,train
bad_000287,verilog,instruction_hijack,high,complex,fpga,1,data/processed/dataset_v1/train/sample_000150.v,verilog_instruction_hijack_high_complex_fpga_1,train
clean_000061,verilog,none,none,complex,mcu,0,data/processed/dataset_v1/train/sample_000151.v,verilog_none_none_complex_mcu_0,train
clean_000250,verilog,none,none,complex,mcu,0,data/processed/dataset_v1/train/sample_000152.v,verilog_none_none_complex_mcu_0,train
bad_000235,c,data_exfiltration,medium,simple,embedded,1,data/processed/dataset_v1/train/sample_000153.c,c_data_exfiltration_medium_simple_embedded_1,train
bad_000032,c,privilege_escalation,medium,simple,mcu,1,data/processed/dataset_v1/train/sample_000154.c,c_privilege_escalation_medium_simple_mcu_1,train
clean_000059,c,none,none,complex,embedded,0,data/processed/dataset_v1/train/sample_000155.c,c_none_none_complex_embedded_0,train
clean_000318,verilog,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000156.v,verilog_none_none_simple_embedded_0,train
bad_000048,vhdl,data_exfiltration,medium,simple,embedded,1,data/processed/dataset_v1/train/sample_000157.vhd,vhdl_data_exfiltration_medium_simple_embedded_1,train
bad_000400,cpp,data_exfiltration,medium,simple,embedded,1,data/processed/dataset_v1/train/sample_000158.cpp,cpp_data_exfiltration_medium_simple_embedded_1,train
bad_000473,cpp,logic_tamper,high,simple,embedded,1,data/processed/dataset_v1/train/sample_000159.cpp,cpp_logic_tamper_high_simple_embedded_1,train
bad_000269,vhdl,privilege_escalation,medium,complex,embedded,1,data/processed/dataset_v1/train/sample_000160.vhd,vhdl_privilege_escalation_medium_complex_embedded_1,train
bad_000146,verilog,logic_tamper,high,simple,fpga,1,data/processed/dataset_v1/train/sample_000161.v,verilog_logic_tamper_high_simple_fpga_1,train
clean_000335,vhdl,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000162.vhd,vhdl_none_none_simple_asic_0,train
clean_000051,verilog,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000163.v,verilog_none_none_simple_asic_0,train
bad_000425,vhdl,instruction_hijack,high,simple,fpga,1,data/processed/dataset_v1/train/sample_000164.vhd,vhdl_instruction_hijack_high_simple_fpga_1,train
clean_000319,verilog,none,none,complex,asic,0,data/processed/dataset_v1/train/sample_000165.v,verilog_none_none_complex_asic_0,train
bad_000076,vhdl,instruction_hijack,high,complex,mcu,1,data/processed/dataset_v1/train/sample_000166.vhd,vhdl_instruction_hijack_high_complex_mcu_1,train
bad_000197,vhdl,data_exfiltration,medium,complex,embedded,1,data/processed/dataset_v1/train/sample_000167.vhd,vhdl_data_exfiltration_medium_complex_embedded_1,train
bad_000153,vhdl,privilege_escalation,medium,simple,mcu,1,data/processed/dataset_v1/train/sample_000168.vhd,vhdl_privilege_escalation_medium_simple_mcu_1,train
clean_000014,vhdl,none,none,simple,fpga,0,data/processed/dataset_v1/train/sample_000169.vhd,vhdl_none_none_simple_fpga_0,train
clean_000152,vhdl,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000170.vhd,vhdl_none_none_simple_embedded_0,train
clean_000316,verilog,none,none,complex,mcu,0,data/processed/dataset_v1/train/sample_000171.v,verilog_none_none_complex_mcu_0,train
clean_000479,vhdl,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000172.vhd,vhdl_none_none_simple_embedded_0,train
clean_000167,c,none,none,complex,mcu,0,data/processed/dataset_v1/train/sample_000173.c,c_none_none_complex_mcu_0,train
bad_000315,cpp,logic_tamper,high,simple,asic,1,data/processed/dataset_v1/train/sample_000174.cpp,cpp_logic_tamper_high_simple_asic_1,train
bad_000244,vhdl,data_exfiltration,medium,simple,asic,1,data/processed/dataset_v1/train/sample_000175.vhd,vhdl_data_exfiltration_medium_simple_asic_1,train
bad_000343,cpp,data_exfiltration,medium,complex,asic,1,data/processed/dataset_v1/train/sample_000176.cpp,cpp_data_exfiltration_medium_complex_asic_1,train
bad_000150,verilog,logic_tamper,high,complex,fpga,1,data/processed/dataset_v1/train/sample_000177.v,verilog_logic_tamper_high_complex_fpga_1,train
clean_000155,cpp,none,none,complex,fpga,0,data/processed/dataset_v1/train/sample_000178.cpp,cpp_none_none_complex_fpga_0,train
clean_000340,verilog,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000179.v,verilog_none_none_simple_asic_0,train
clean_000378,vhdl,none,none,complex,mcu,0,data/processed/dataset_v1/train/sample_000180.vhd,vhdl_none_none_complex_mcu_0,train
clean_000056,vhdl,none,none,complex,asic,0,data/processed/dataset_v1/train/sample_000181.vhd,vhdl_none_none_complex_asic_0,train
clean_000317,c,none,none,complex,mcu,0,data/processed/dataset_v1/train/sample_000182.c,c_none_none_complex_mcu_0,train
clean_000016,vhdl,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000183.vhd,vhdl_none_none_simple_embedded_0,train
bad_000419,c,privilege_escalation,medium,complex,embedded,1,data/processed/dataset_v1/train/sample_000184.c,c_privilege_escalation_medium_complex_embedded_1,train
bad_000013,cpp,privilege_escalation,medium,simple,mcu,1,data/processed/dataset_v1/train/sample_000185.cpp,cpp_privilege_escalation_medium_simple_mcu_1,train
clean_000153,vhdl,none,none,simple,fpga,0,data/processed/dataset_v1/train/sample_000186.vhd,vhdl_none_none_simple_fpga_0,train
clean_000120,cpp,none,none,simple,embedded,0,data/processed/dataset_v1/train/sample_000187.cpp,cpp_none_none_simple_embedded_0,train
clean_000037,cpp,none,none,simple,mcu,0,data/processed/dataset_v1/train/sample_000188.cpp,cpp_none_none_simple_mcu_0,train
bad_000373,verilog,data_exfiltration,medium,complex,mcu,1,data/processed/dataset_v1/train/sample_000189.v,verilog_data_exfiltration_medium_complex_mcu_1,train
clean_000001,vhdl,none,none,simple,asic,0,data/processed/dataset_v1/train/sample_000190.vhd,vhdl_none_none_simple_asic_0,train
clean_000162,cpp,none,none,complex,embedded,0,data/processed/dataset_v1/train/sample_000191.cpp,cpp_none_none_complex_embedded_0,train
bad_000452,cpp,instruction_hijack,high,complex,embedded,1,data/processed/dataset_v1/train/sample_000192.cpp,cpp_instruction_hijack_high_complex_embedded_1,train
clean_000253,verilog,none,none,simple,mcu,0,data/processed/dataset_v1/train/sample_000193.v,verilog_none_none_simple_mcu_0,train
bad_000258,c,data_exfiltration,medium,simple,mcu,1,data/processed/dataset_v1/train/sample_000194.c,c_data_exfiltration_medium_simple_mcu_1,train
bad_000079,cpp,logic_tamper,high,complex,asic,1,data/processed/dataset_v1/train/sample_000195.cpp,cpp_logic_tamper_high_complex_asic_1,train
bad_000019,verilog,instruction_hijack,high,simple,asic,1,data/processed/dataset_v1/train/sample_000196.v,verilog_instruction_hijack_high_simple_asic_1,train
clean_000178,verilog,none,none,simple,mcu,0,data/processed/dataset_v1/train/sample_000197.v,verilog_none_none_simple_mcu_0,train
